Player,Stat,Line,Season_Avg,L5_Avg,Formula,Expected,Std_Dev,Deviation,Z_Score,Recommendation,Confidence,Bookmaker,Over_Odds,Under_Odds
Karl-Anthony Towns,FG3M,1.5,1.97,0.8,(1.97 × 0.5) + (0.8 × 0.5) = 1.39,1.39,1.4,0.11,0.08,NO PLAY,N/A,fanduel,-162,126
Landry Shamet,REB,1.5,1.22,1.6,(1.22 × 0.5) + (1.6 × 0.5) = 1.41,1.41,1.13,0.09,0.08,NO PLAY,N/A,fanatics,-175,125
P.J. Washington,AST,2.5,2.3,2.4,(2.3 × 0.5) + (2.4 × 0.5) = 2.35,2.35,1.87,0.15,0.08,NO PLAY,N/A,fanatics,120,-165
Malik Monk,PTS,12.5,17.18,9.0,(17.18 × 0.5) + (9.0 × 0.5) = 13.09,13.09,7.0,-0.59,-0.08,NO PLAY,N/A,fanduel,104,-138
Coby White,FG3M,2.5,2.92,1.8,(2.92 × 0.5) + (1.8 × 0.5) = 2.36,2.36,1.95,0.14,0.07,NO PLAY,N/A,fanatics,-175,125
P.J. Washington,FG3M,1.5,1.6,1.6,(1.6 × 0.5) + (1.6 × 0.5) = 1.6,1.6,1.35,-0.1,-0.07,NO PLAY,N/A,fanduel,-146,110
Jock Landale,FG3M,0.5,0.26,0.8,(0.26 × 0.5) + (0.8 × 0.5) = 0.53,0.53,0.45,-0.03,-0.07,NO PLAY,N/A,fanatics,105,-140
John Konchar,FG3M,0.5,0.5,0.4,(0.5 × 0.5) + (0.4 × 0.5) = 0.45,0.45,0.75,0.05,0.07,NO PLAY,N/A,fanatics,105,-140
Mikal Bridges,FG3M,1.5,2.0,1.2,(2.0 × 0.5) + (1.2 × 0.5) = 1.6,1.6,1.57,-0.1,-0.06,NO PLAY,N/A,fanduel,-142,112
Jalen Johnson,REB,9.5,9.97,8.6,(9.97 × 0.5) + (8.6 × 0.5) = 9.29,9.29,3.68,0.21,0.06,NO PLAY,N/A,fanduel,-144,108
Coby White,AST,4.5,4.46,4.8,(4.46 × 0.5) + (4.8 × 0.5) = 4.63,4.63,2.13,-0.13,-0.06,NO PLAY,N/A,fanatics,-115,-115
Bobby Portis,REB,8.5,8.39,8.2,(8.39 × 0.5) + (8.2 × 0.5) = 8.29,8.29,3.63,0.21,0.06,NO PLAY,N/A,fanduel,104,-138
Keegan Murray,PTS,11.5,12.39,10.0,(12.39 × 0.5) + (10.0 × 0.5) = 11.2,11.2,5.27,0.3,0.06,NO PLAY,N/A,fanduel,-114,-114
Peyton Watson,FG3M,0.5,0.71,0.4,(0.71 × 0.5) + (0.4 × 0.5) = 0.55,0.55,0.95,-0.05,-0.06,NO PLAY,N/A,betonlineag,-189,143
Brandon Miller,PTS,19.5,21.04,18.8,(21.04 × 0.5) + (18.8 × 0.5) = 19.92,19.92,8.11,-0.42,-0.05,NO PLAY,N/A,fanduel,-110,-120
Miles Bridges,REB,6.5,7.52,5.2,(7.52 × 0.5) + (5.2 × 0.5) = 6.36,6.36,2.83,0.14,0.05,NO PLAY,N/A,fanduel,-125,-106
Nicolas Batum,FG3M,1.5,1.13,2.0,(1.13 × 0.5) + (2.0 × 0.5) = 1.56,1.56,1.17,-0.06,-0.05,NO PLAY,N/A,fanduel,-192,142
Anthony Black,PTS,10.5,9.44,12.2,(9.44 × 0.5) + (12.2 × 0.5) = 10.82,10.82,5.83,-0.32,-0.05,NO PLAY,N/A,fanduel,-128,100
Patrick Williams,REB,3.5,3.76,3.0,(3.76 × 0.5) + (3.0 × 0.5) = 3.38,3.38,2.23,0.12,0.05,NO PLAY,N/A,fanatics,115,-150
Franz Wagner,PTS,23.5,24.15,23.4,(24.15 × 0.5) + (23.4 × 0.5) = 23.78,23.78,6.81,-0.27,-0.04,NO PLAY,N/A,fanduel,-106,-120
Mikal Bridges,PTS,15.5,17.61,14.0,(17.61 × 0.5) + (14.0 × 0.5) = 15.8,15.8,7.36,-0.3,-0.04,NO PLAY,N/A,fanduel,-104,-122
Jalen Suggs,REB,3.5,4.03,2.8,(4.03 × 0.5) + (2.8 × 0.5) = 3.41,3.41,2.05,0.09,0.04,NO PLAY,N/A,fanduel,-166,130
Jalen Brunson,REB,2.5,2.88,2.0,(2.88 × 0.5) + (2.0 × 0.5) = 2.44,2.44,1.65,0.06,0.04,NO PLAY,N/A,fanduel,-122,-104
Wendell Carter Jr.,FG3M,0.5,0.54,0.4,(0.54 × 0.5) + (0.4 × 0.5) = 0.47,0.47,0.76,0.03,0.04,NO PLAY,N/A,fanatics,-240,150
Josh Giddey,FG3M,1.5,1.5,1.4,(1.5 × 0.5) + (1.4 × 0.5) = 1.45,1.45,1.11,0.05,0.04,NO PLAY,N/A,fanatics,-110,-120
Dereck Lively II,REB,5.5,7.5,3.8,(7.5 × 0.5) + (3.8 × 0.5) = 5.65,5.65,3.85,-0.15,-0.04,NO PLAY,N/A,fanduel,-130,-102
Bruce Brown,PTS,8.5,8.29,9.0,(8.29 × 0.5) + (9.0 × 0.5) = 8.65,8.65,5.73,-0.15,-0.03,NO PLAY,N/A,fanduel,-114,-114
Jamal Murray,PTS,22.5,21.43,23.0,(21.43 × 0.5) + (23.0 × 0.5) = 22.22,22.22,8.75,0.28,0.03,NO PLAY,N/A,fanduel,-118,-112
